code,name,time_key,open,close,high,low,volume,turnover,pe_ratio,turnover_rate,last_close,change_rate
US.ONDS,Ondas,2025-01-06 00:00:00,3.05,2.69,3.13,2.63,15491348.0,44944854.0,0.0,0.19935,2.8,-3.9285714285714257
US.ONDS,Ondas,2025-01-07 00:00:00,2.69,2.65,2.7591,2.4,8343441.0,21531126.0,0.0,0.10737,2.69,-1.486988847583648
US.ONDS,Ondas,2025-01-08 00:00:00,2.72,2.54,2.73,2.09,20144708.0,49797137.0,0.0,0.24482,2.65,-4.150943396226414
US.ONDS,Ondas,2025-01-10 00:00:00,2.39,2.24,2.46,2.2,6276268.0,14457114.0,0.0,0.07628,2.54,-11.811023622047234
US.ONDS,Ondas,2025-01-13 00:00:00,2.05,1.88,2.19,1.8201,8172034.0,15940371.0,0.0,0.09932,2.24,-16.07142857142858
US.ONDS,Ondas,2025-01-14 00:00:00,1.9,1.99,2.13,1.9,4833755.0,9624496.0,0.0,0.05875,1.88,5.85106382978724
US.ONDS,Ondas,2025-01-15 00:00:00,2.06,2.21,2.2579,1.9993,5071733.0,10750458.0,0.0,0.06164,1.99,11.05527638190955
US.ONDS,Ondas,2025-01-16 00:00:00,2.27,2.2,2.27,2.005,3917815.0,8379709.0,0.0,0.04761,2.21,-0.4524886877827927
US.ONDS,Ondas,2025-01-17 00:00:00,2.2,2.07,2.2,2.02,3928218.0,8177836.0,0.0,0.04774,2.2,-5.909090909090919
US.ONDS,Ondas,2025-01-21 00:00:00,2.1,2.01,2.1399,1.94,4724561.0,9508177.0,0.0,0.05742,2.07,-2.898550724637683
US.ONDS,Ondas,2025-01-22 00:00:00,2.07,2.37,2.46,1.99,7804230.0,17949748.0,0.0,0.09485,2.01,17.910447761194035
US.ONDS,Ondas,2025-01-23 00:00:00,2.17,2.11,2.3,2.1,4018154.0,8719775.0,0.0,0.04883,2.37,-10.970464135021107
US.ONDS,Ondas,2025-01-24 00:00:00,2.06,2.04,2.21,1.98,4373147.0,9127847.0,0.0,0.05315,2.11,-3.3175355450236865
US.ONDS,Ondas,2025-01-27 00:00:00,1.89,1.94,2.0,1.83,3832350.0,7296896.0,0.0,0.04658,2.04,-4.90196078431373
US.ONDS,Ondas,2025-01-28 00:00:00,1.93,1.81,1.99,1.81,2620010.0,4877467.0,0.0,0.03184,1.94,-6.70103092783505
US.ONDS,Ondas,2025-01-29 00:00:00,1.74,1.71,1.81,1.64,3883461.0,6656732.0,0.0,0.0472,1.81,-5.524861878453047
US.ONDS,Ondas,2025-01-30 00:00:00,1.74,1.69,1.77,1.68,2345957.0,4050981.0,0.0,0.02851,1.71,-1.1695906432748537
US.ONDS,Ondas,2025-01-31 00:00:00,1.69,1.75,1.835,1.665,3084959.0,5412235.0,0.0,0.03749,1.69,3.5502958579881616
US.ONDS,Ondas,2025-02-03 00:00:00,1.61,1.6,1.6794,1.5,2885675.0,4635230.0,0.0,0.03507,1.75,-8.571428571428562
US.ONDS,Ondas,2025-02-04 00:00:00,1.62,1.69,1.7,1.62,1712871.0,2844004.0,0.0,0.02082,1.6,5.624999999999991
US.ONDS,Ondas,2025-02-05 00:00:00,1.72,1.64,1.72,1.61,2167959.0,3592535.0,0.0,0.02635,1.69,-2.9585798816568087
US.ONDS,Ondas,2025-02-06 00:00:00,1.68,1.76,1.85,1.68,2754260.0,4839565.0,0.0,0.03347,1.64,7.317073170731714
US.ONDS,Ondas,2025-02-07 00:00:00,1.78,1.91,1.92,1.76,3689891.0,6859490.0,0.0,0.05031,1.76,8.52272727272727
US.ONDS,Ondas,2025-02-10 00:00:00,2.0,2.1,2.12,1.8206,5051669.0,10085488.0,0.0,0.06887,1.91,9.947643979057608
US.ONDS,Ondas,2025-02-11 00:00:00,2.05,2.1,2.23,2.0,5500961.0,11751329.0,0.0,0.075,2.1,0.0
US.ONDS,Ondas,2025-02-12 00:00:00,2.03,1.94,2.14,1.93,4053551.0,8161576.0,0.0,0.05526,2.1,-7.619047619047626
US.ONDS,Ondas,2025-02-13 00:00:00,1.94,1.92,1.9499,1.84,1972824.0,3730613.0,0.0,0.0269,1.94,-1.0309278350515427
US.ONDS,Ondas,2025-02-14 00:00:00,1.9,1.83,1.9693,1.805,1961797.0,3633355.0,0.0,0.02164,1.92,-4.687499999999989
US.ONDS,Ondas,2025-02-18 00:00:00,1.835,1.65,1.94,1.61,3484464.0,6005414.0,0.0,0.03844,1.83,-9.836065573770503
US.ONDS,Ondas,2025-02-19 00:00:00,1.64,1.43,1.68,1.4,5038067.0,7621420.0,0.0,0.05558,1.65,-13.33333333333333
US.ONDS,Ondas,2025-02-20 00:00:00,1.39,1.39,1.46,1.325,2375812.0,3274878.0,0.0,0.02621,1.43,-2.7972027972028024
US.ONDS,Ondas,2025-02-21 00:00:00,1.4,1.25,1.45,1.24,2586564.0,3387926.0,0.0,0.02853,1.39,-10.071942446043158
US.ONDS,Ondas,2025-02-24 00:00:00,1.25,1.1,1.26,1.1,3109908.0,3586080.0,0.0,0.03431,1.25,-11.99999999999999
US.ONDS,Ondas,2025-02-25 00:00:00,1.17,1.04,1.21,1.0,4790054.0,5068047.0,0.0,0.05284,1.1,-5.454545454545457
US.ONDS,Ondas,2025-02-26 00:00:00,1.06,1.08,1.14,1.03,2303209.0,2460541.0,0.0,0.02541,1.04,3.8461538461538547
US.ONDS,Ondas,2025-02-27 00:00:00,1.08,0.9704,1.13,0.97,1932761.0,1986104.0,0.0,0.02134,1.08,-10.14814814814815
US.ONDS,Ondas,2025-02-28 00:00:00,0.9468,0.9843,1.0215,0.9163,1851922.0,1815920.0,0.0,0.02044,0.9704,1.4323990107172113
US.ONDS,Ondas,2025-03-03 00:00:00,0.9937,0.8523,1.0,0.839,2791769.0,2510379.0,0.0,0.03082,0.9843,-13.410545565376408
US.ONDS,Ondas,2025-03-04 00:00:00,0.8,0.8712,0.9362,0.7885,2542022.0,2120309.0,0.0,0.02806,0.8523,2.2175290390707536
US.ONDS,Ondas,2025-03-05 00:00:00,0.8691,0.8875,0.9034,0.83,1323876.0,1138542.0,0.0,0.01461,0.8712,1.8709825528007373
US.ONDS,Ondas,2025-03-06 00:00:00,0.8674,0.8046,0.899,0.8,1486917.0,1247827.0,0.0,0.01641,0.8875,-9.340845070422532
US.ONDS,Ondas,2025-03-07 00:00:00,0.8279,0.8085,0.83,0.7507,2417508.0,1920998.0,0.0,0.02669,0.8046,0.4847129008202833
US.ONDS,Ondas,2025-03-10 00:00:00,0.8,0.727,0.81,0.685,3059221.0,2193526.0,0.0,0.03377,0.8085,-10.080395794681507
US.ONDS,Ondas,2025-03-11 00:00:00,1.18,0.7235,1.18,0.6811,104014692.0,96938942.0,0.0,1.14822,0.727,-0.4814305364511662
