code,name,time_key,open,close,high,low,volume,turnover,pe_ratio,turnover_rate,last_close,change_rate
US.WDAY,Workday,2025-01-06 00:00:00,254.14,254.14,257.505,252.12,1849075.0,469740456.0,48.779,0.00871,252.84,0.5141591520329003
US.WDAY,Workday,2025-01-07 00:00:00,252.0,249.68,253.19,246.85,2226060.0,555397291.0,47.923,0.01049,254.14,-1.7549382230266697
US.WDAY,Workday,2025-01-08 00:00:00,250.94,254.69,256.79,250.55,2242619.0,570667374.0,48.884,0.01057,249.68,2.006568407561682
US.WDAY,Workday,2025-01-10 00:00:00,251.1,249.71,254.42,249.5,2011463.0,505300771.0,47.928,0.00948,254.69,-1.9553182300050986
US.WDAY,Workday,2025-01-13 00:00:00,248.24,246.0,248.66,244.88,2253385.0,555147625.0,47.216,0.01062,249.71,-1.485723439189468
US.WDAY,Workday,2025-01-14 00:00:00,246.68,246.03,248.35,245.325,2210644.0,545126343.0,47.222,0.01042,246.0,0.012195121951230625
US.WDAY,Workday,2025-01-15 00:00:00,251.2,248.57,251.2,245.26,3172814.0,787312028.0,47.71,0.01495,246.03,1.0323944234442939
US.WDAY,Workday,2025-01-16 00:00:00,249.63,250.7,252.18,248.49,1683688.0,422407719.0,48.119,0.00793,248.57,0.8569014764452598
US.WDAY,Workday,2025-01-17 00:00:00,256.32,249.64,256.32,248.8079,1578270.0,396236072.0,47.915,0.00744,250.7,-0.4228161148783438
US.WDAY,Workday,2025-01-21 00:00:00,250.46,250.72,252.08,247.46,1666439.0,416769878.0,48.122,0.00785,249.64,0.432622977087016
US.WDAY,Workday,2025-01-22 00:00:00,254.35,253.48,257.66,250.6275,2012765.0,512092381.0,48.652,0.00949,250.72,1.1008296107211102
US.WDAY,Workday,2025-01-23 00:00:00,252.73,255.3,255.39,249.23,2179881.0,550569894.0,49.001,0.01027,253.48,0.7180053653148333
US.WDAY,Workday,2025-01-24 00:00:00,255.82,258.28,260.205,255.56,1789184.0,461792575.0,49.573,0.00843,255.3,1.167254210732449
US.WDAY,Workday,2025-01-27 00:00:00,255.22,264.2,268.9365,255.22,2597687.0,686522256.0,50.71,0.01224,258.28,2.2920861080997446
US.WDAY,Workday,2025-01-28 00:00:00,265.3,270.43,274.5,262.49,2533043.0,684888733.0,51.905,0.01194,264.2,2.358062074186229
US.WDAY,Workday,2025-01-29 00:00:00,270.91,265.4,271.97,264.215,1166534.0,310093196.0,50.94,0.0055,270.43,-1.860000739562928
US.WDAY,Workday,2025-01-30 00:00:00,262.48,260.07,264.9375,257.01,1364802.0,354958248.0,49.917,0.00643,265.4,-2.0082893745290042
US.WDAY,Workday,2025-01-31 00:00:00,263.82,262.06,267.02,260.89,1668001.0,439455290.0,50.299,0.00786,260.07,0.7651786057599974
US.WDAY,Workday,2025-02-03 00:00:00,259.73,259.77,260.94,254.735,1594556.0,413384919.0,49.859,0.00751,262.06,-0.8738456841944631
US.WDAY,Workday,2025-02-04 00:00:00,255.97,259.73,260.97,255.42,1465666.0,380136918.0,49.852,0.00691,259.77,-0.015398236901864593
US.WDAY,Workday,2025-02-05 00:00:00,272.44,276.17,276.37,262.14,5246669.0,1425967495.0,53.007,0.02472,259.73,6.3296500211758255
US.WDAY,Workday,2025-02-06 00:00:00,276.99,277.82,283.68,274.69,2713245.0,759072887.0,53.324,0.01279,276.17,0.5974580874099189
US.WDAY,Workday,2025-02-07 00:00:00,280.04,271.89,280.99,271.65,1613172.0,442098233.0,52.186,0.0076,277.82,-2.134475559714921
US.WDAY,Workday,2025-02-10 00:00:00,274.67,269.88,277.23,269.59,1675414.0,455498262.0,51.8,0.0079,271.89,-0.7392695575416441
US.WDAY,Workday,2025-02-11 00:00:00,269.07,263.0,269.39,261.0,2602806.0,685661536.0,50.479,0.01227,269.88,-2.5492811619979183
US.WDAY,Workday,2025-02-12 00:00:00,258.28,257.92,260.0,254.28,1791449.0,460986615.0,49.504,0.00844,263.0,-1.9315589353612106
US.WDAY,Workday,2025-02-13 00:00:00,259.21,260.13,260.51,256.36,1923787.0,498465049.0,49.928,0.00907,257.92,0.8568548387096753
US.WDAY,Workday,2025-02-14 00:00:00,259.95,258.05,261.39,257.56,1382447.0,358058521.0,49.529,0.00651,260.13,-0.7996001999000413
US.WDAY,Workday,2025-02-18 00:00:00,257.05,265.72,265.76,255.24,2355953.0,620909559.0,51.001,0.0111,258.05,2.972292191435777
US.WDAY,Workday,2025-02-19 00:00:00,258.69,261.1,261.72,255.485,2857003.0,740453233.0,50.115,0.01347,265.72,-1.738672286617493
US.WDAY,Workday,2025-02-20 00:00:00,260.29,261.63,262.77,257.9,1747457.0,455644900.0,50.216,0.00824,261.1,0.20298736116428628
US.WDAY,Workday,2025-02-21 00:00:00,261.17,256.39,261.17,256.0,2415566.0,622510952.0,49.211,0.01139,261.63,-2.002828421817071
US.WDAY,Workday,2025-02-24 00:00:00,255.18,261.81,263.55,251.03,3836148.0,995329948.0,50.251,0.01809,256.39,2.11396700339328
US.WDAY,Workday,2025-02-25 00:00:00,259.3,255.22,259.55,252.65,4828378.0,1245299296.0,130.882,0.02277,261.81,-2.517092548031019
US.WDAY,Workday,2025-02-26 00:00:00,279.99,271.09,281.0,269.11,6231472.0,1702425385.0,139.02,0.02938,255.22,6.218164720633168
US.WDAY,Workday,2025-02-27 00:00:00,270.0,260.57,271.43,260.37,3078480.0,815231614.0,133.625,0.01451,271.09,-3.8806300490611956
US.WDAY,Workday,2025-02-28 00:00:00,260.855,263.34,266.08,258.41,2795692.0,734194267.0,135.046,0.01318,260.57,1.0630540737613714
