code,name,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close
US.TME,Tencent Music,2025-07-07 00:00:00,19.312132748,19.516648526,19.833161039,19.307263325,33.908,0.0129,6973894.0,140095051.0,2.980472764363436,18.951795425
US.TME,Tencent Music,2025-07-08 00:00:00,19.721164304,19.76011969,20.305495098,19.672470071,34.331,0.01701,9194801.0,188953598.0,1.2475049887568943,19.516648526
US.TME,Tencent Music,2025-07-09 00:00:00,19.73090315,19.818552769,20.081501627,19.594559298,34.433,0.00883,4775610.0,97372835.0,0.2957121713669148,19.76011969
US.TME,Tencent Music,2025-07-10 00:00:00,19.847769309,19.47769314,19.930549505,19.414390637,33.84,0.00929,5019929.0,101094818.0,-1.7199017151906775,19.818552769
US.TME,Tencent Music,2025-07-11 00:00:00,19.47769314,19.273177362,19.584820452,19.058922737,33.485,0.00881,4763057.0,94009426.0,-1.050000000154028,19.47769314
US.TME,Tencent Music,2025-07-14 00:00:00,19.282916208,20.13019586,20.261670288,19.224483129,34.915,0.01372,7416125.0,152736571.0,4.446690246776562,19.273177362
US.TME,Tencent Music,2025-07-15 00:00:00,20.451577797,20.734004347,20.996953204,20.363928177,36.023,0.01364,7375695.0,156576805.0,2.9995162054026756,20.13019586
US.TME,Tencent Music,2025-07-16 00:00:00,20.919042432,20.880087046,21.074863977,20.558705109,36.277,0.00846,4571514.0,97652304.0,0.7045561318266893,20.734004347
US.TME,Tencent Music,2025-07-17 00:00:00,21.06512513,21.77606093,21.912404782,20.957997818,37.898,0.0149,8054875.0,179386373.0,4.291044774028572,20.880087046
US.TME,Tencent Music,2025-07-18 00:00:00,21.425462454,20.870348199,21.712758427,20.81191512,36.26,0.018,9732699.0,211611408.0,-4.159212880196516,21.77606093
US.TME,Tencent Music,2025-07-21 00:00:00,20.734004347,20.734004347,20.977475511,20.354189331,36.023,0.01292,6987056.0,149028547.0,-0.6532897807930798,20.870348199
US.TME,Tencent Music,2025-07-22 00:00:00,20.47105549,20.802176273,20.904434162,20.334711638,36.142,0.0108,5837827.0,123972183.0,0.3287928605545283,20.734004347
US.TME,Tencent Music,2025-07-23 00:00:00,20.675571268,21.006692051,21.220946676,20.617138188,36.435,0.00984,5320129.0,114860301.0,0.9831460675845273,20.802176273
US.TME,Tencent Music,2025-07-24 00:00:00,20.996953204,20.675571268,21.035908591,20.665832421,35.801,0.00713,3855747.0,82277720.0,-1.5762633269250987,21.006692051
US.TME,Tencent Music,2025-07-25 00:00:00,20.480794336,20.743743194,20.938520125,20.315233945,35.979,0.00933,5045961.0,107450129.0,0.32972209143025044,20.675571268
US.TME,Tencent Music,2025-07-28 00:00:00,21.220946676,21.035908591,21.474156686,20.909303585,36.548,0.00875,4730440.0,102370455.0,1.408450703750059,20.743743194
US.TME,Tencent Music,2025-07-29 00:00:00,21.308596295,21.181991289,21.600761692,21.162513596,36.802,0.0091,4921739.0,107894027.0,0.6944444418364736,21.035908591
US.TME,Tencent Music,2025-07-30 00:00:00,20.899564739,20.548966262,21.181991289,20.466186066,35.823,0.0095,5137327.0,109080197.0,-2.988505746996196,21.181991289
US.TME,Tencent Music,2025-07-31 00:00:00,20.675571268,20.44183895,20.7242655,20.188628939,35.636,0.01326,7171092.0,150822183.0,-0.5213270129218307,20.548966262
US.TME,Tencent Music,2025-08-01 00:00:00,19.682208917,20.003590854,20.178890093,19.536126219,34.931,0.00873,4722062.0,96679648.0,-2.143878038917836,20.44183895
US.TME,Tencent Music,2025-08-04 00:00:00,20.500272029,20.772959733,20.938520125,20.349319908,36.091,0.00812,4387511.0,93510209.0,3.8461538461538547,20.003590854
US.TME,Tencent Music,2025-08-05 00:00:00,21.133297056,20.987214358,21.318335141,20.880087046,36.525,0.00681,3679395.0,79508679.0,1.0314111602480658,20.772959733
US.TME,Tencent Music,2025-08-06 00:00:00,20.831392813,21.318335141,21.328073988,20.831392813,37.101,0.00715,3865568.0,83964938.0,1.57772621631313,20.987214358
US.TME,Tencent Music,2025-08-07 00:00:00,21.328073988,21.396245914,21.795538623,21.201468982,37.237,0.01022,5523324.0,121449695.0,0.3654636841230754,21.318335141
US.TME,Tencent Music,2025-08-08 00:00:00,21.09434167,21.552067459,21.581283999,20.948258972,37.508,0.00797,4309039.0,94913511.0,0.7282658164722309,21.396245914
US.TME,Tencent Music,2025-08-11 00:00:00,21.698150157,22.107181713,22.379869417,21.459548416,38.474,0.01726,9332535.0,211066891.0,2.575689107581126,21.552067459
US.TME,Tencent Music,2025-08-12 00:00:00,23.947823715,24.726931441,25.301523388,23.587486392,42.961,0.0287,15516284.0,391510895.0,11.850220267830311,22.107181713
US.TME,Tencent Music,2025-08-13 00:00:00,25.398911854,24.931447219,25.846898796,24.911969526,43.316,0.01747,9445449.0,244769068.0,0.8270972825236521,24.726931441
US.TME,Tencent Music,2025-08-14 00:00:00,24.541893356,24.853536446,25.330739928,24.211356903,43.181,0.01891,10221199.0,261859490.0,-0.3125000017673433,24.931447219
US.TME,Tencent Music,2025-08-15 00:00:00,24.726931441,24.882752986,25.369695314,24.580848742,43.305,0.01192,6446232.0,164710134.0,0.1175548601040331,24.853536446
US.TME,Tencent Music,2025-08-18 00:00:00,25.311262235,24.8437976,25.564472246,24.834058753,43.237,0.01174,6347922.0,163137989.0,-0.15655577187105937,24.882752986
US.TME,Tencent Music,2025-08-19 00:00:00,24.707453748,24.629542975,24.8437976,24.400680081,42.864,0.00903,4879884.0,123359569.0,-0.862406901109188,24.8437976
US.TME,Tencent Music,2025-08-20 00:00:00,24.483460276,24.44450489,24.498068546,23.855304673,42.47,0.00979,5290173.0,131946567.0,-0.7512850936284928,24.629542975
US.TME,Tencent Music,2025-08-21 00:00:00,24.16207834,24.337377578,24.653890091,24.084167567,42.355,0.00834,4510873.0,112589824.0,-0.4382470108601957,24.44450489
US.TME,Tencent Music,2025-08-22 00:00:00,24.580848742,24.687976054,24.950924912,24.201033726,42.82,0.00598,3233649.0,82047799.0,1.440576228381011,24.337377578
US.TME,Tencent Music,2025-08-25 00:00:00,25.12622415,25.048313378,25.627774748,24.941186065,43.372,0.01161,6279270.0,163400551.0,1.4595660786928581,24.687976054
US.TME,Tencent Music,2025-08-26 00:00:00,25.272306849,25.544994553,25.593688785,25.106746457,44.232,0.04781,25846996.0,676648152.0,1.9828926902369222,25.048313378
US.TME,Tencent Music,2025-08-27 00:00:00,25.262568002,25.145701843,25.301523388,24.298422192,43.541,0.00965,5218822.0,133862567.0,-1.5630956944287333,25.544994553
US.TME,Tencent Music,2025-08-28 00:00:00,24.931447219,24.249727959,25.084834052,24.201033726,41.848,0.01206,6518300.0,163908101.0,-3.5631293554425847,25.145701843
US.TME,Tencent Music,2025-08-29 00:00:00,24.337377578,23.879651789,24.454243737,23.79200217,41.279,0.01324,7159467.0,176187099.0,-1.5261044190916435,24.249727959
US.TME,Tencent Music,2025-09-02 00:00:00,23.860174096,23.908868329,24.274075075,23.227149069,41.329,0.00801,4331043.0,106416737.0,0.12234910399094923,23.879651789
US.TME,Tencent Music,2025-09-03 00:00:00,23.869912943,24.317899885,24.342247001,23.733569091,42.037,0.00617,3334716.0,82484978.0,1.7107942976283337,23.908868329
US.TME,Tencent Music,2025-09-04 00:00:00,24.142600647,24.025734488,24.142600647,23.785866697,41.531,0.00706,3817719.0,94060970.0,-1.201441729679191,24.317899885
US.TME,Tencent Music,2025-09-05 00:00:00,24.347116425,23.850435249,24.425027197,23.850435249,41.228,0.00799,4318660.0,106791561.0,-0.7296311340140578,24.025734488
US.TME,Tencent Music,2025-09-08 00:00:00,24.054951027,23.908868329,24.210772573,23.587486392,41.26,0.00672,3633257.0,88981705.0,0.24499796079172323,23.850435249
US.TME,Tencent Music,2025-09-09 00:00:00,24.035473334,24.600326435,24.761017404,23.938084869,42.453,0.0084,4543745.0,114406813.0,2.8920570245531128,23.908868329
US.TME,Tencent Music,2025-09-10 00:00:00,24.863275293,24.804842213,25.048313378,24.59175625,42.806,0.00626,3384217.0,86163572.0,0.8313539193895705,24.600326435
US.TME,Tencent Music,2025-09-11 00:00:00,24.892491832,24.950924912,25.09700761,24.585718165,42.986,0.00647,3496881.0,89460992.0,0.5889281525985284,24.804842213
US.TME,Tencent Music,2025-09-12 00:00:00,24.610065282,24.347116425,24.697714901,23.980351463,42.016,0.00706,3817532.0,95276312.0,-2.4199843858678114,24.950924912
