code,name,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close
US.NBIS,NEBIUS,2025-07-07 00:00:00,49.325,47.84,49.3348,47.22,0.0,0.049,9432634.0,454670731.0,-4.796019900497505,50.25
US.NBIS,NEBIUS,2025-07-08 00:00:00,48.1,47.1,48.55,46.65,0.0,0.04389,8447779.0,400481562.0,-1.5468227424749204,47.84
US.NBIS,NEBIUS,2025-07-09 00:00:00,47.4,46.05,48.8,45.81,0.0,0.05272,10148670.0,473131216.0,-2.2292993630573337,47.1
US.NBIS,NEBIUS,2025-07-10 00:00:00,46.5,46.43,47.235,45.25,0.0,0.04403,8475988.0,392910691.0,0.825190010857769,46.05
US.NBIS,NEBIUS,2025-07-11 00:00:00,46.515,44.3,47.605,43.89,0.0,0.04778,9198213.0,415027391.0,-4.587551152272243,46.43
US.NBIS,NEBIUS,2025-07-14 00:00:00,48.93,51.95,52.21,48.8,0.0,0.12678,24405126.0,1226517715.0,17.268623024830713,44.3
US.NBIS,NEBIUS,2025-07-15 00:00:00,52.325,53.53,55.43,51.02,0.0,0.09587,18454809.0,989144736.0,3.0413859480269454,51.95
US.NBIS,NEBIUS,2025-07-16 00:00:00,53.58,53.31,53.6499,50.12,0.0,0.0577,11106696.0,580165309.0,-0.41098449467588055,53.53
US.NBIS,NEBIUS,2025-07-17 00:00:00,53.81,53.69,56.16,52.7115,0.0,0.0565,10876380.0,585397255.0,0.7128118551866356,53.31
US.NBIS,NEBIUS,2025-07-18 00:00:00,54.65,52.79,54.8,51.01,0.0,0.04984,9593830.0,502312767.0,-1.6762898118830298,53.69
US.NBIS,NEBIUS,2025-07-21 00:00:00,53.71,52.37,58.1643,51.88,0.0,0.10284,19795712.0,1084636628.0,-0.7956052282629318,52.79
US.NBIS,NEBIUS,2025-07-22 00:00:00,52.15,51.01,52.3,49.0,0.0,0.0515,9913873.0,501442437.0,-2.5969066259308753,52.37
US.NBIS,NEBIUS,2025-07-23 00:00:00,51.2,51.88,52.04,50.44,0.0,0.03786,7288526.0,374041828.0,1.7055479317780917,51.01
US.NBIS,NEBIUS,2025-07-24 00:00:00,53.28,52.16,53.78,51.02,0.0,0.03751,7220664.0,376122429.0,0.539707016191199,51.88
US.NBIS,NEBIUS,2025-07-25 00:00:00,52.52,51.37,52.76,51.32,0.0,0.0324,6237591.0,323360785.0,-1.514570552147238,52.16
US.NBIS,NEBIUS,2025-07-28 00:00:00,51.69,52.75,52.805,50.554324,0.0,0.04467,8599545.0,445045268.0,2.686392836285775,51.37
US.NBIS,NEBIUS,2025-07-29 00:00:00,53.29,50.4,54.7,50.0,0.0,0.05527,10638297.0,549311119.0,-4.4549763033175385,52.75
US.NBIS,NEBIUS,2025-07-30 00:00:00,50.88,51.29,52.5,50.25,0.0,0.04161,8009413.0,411970787.0,1.765873015873017,50.4
US.NBIS,NEBIUS,2025-07-31 00:00:00,53.33,54.43,57.13,52.9,0.0,0.11899,22905485.0,1262713804.0,6.122051082082279,51.29
US.NBIS,NEBIUS,2025-08-01 00:00:00,51.97,52.0,53.73,50.0982,0.0,0.06088,11719087.0,609340977.0,-4.464449751975013,54.43
US.NBIS,NEBIUS,2025-08-04 00:00:00,52.99,54.17,54.53,52.88,0.0,0.03686,7096068.0,382603226.0,4.173076923076927,52.0
US.NBIS,NEBIUS,2025-08-05 00:00:00,55.845,55.17,56.45,53.5379,0.0,0.0446,8585128.0,471801946.0,1.8460402436773122,54.17
US.NBIS,NEBIUS,2025-08-06 00:00:00,55.89,55.09,55.89,53.95,0.0,0.05055,9731086.0,534006983.0,-0.1450063440275481,55.17
US.NBIS,NEBIUS,2025-08-07 00:00:00,64.37,65.31,70.54,63.38,0.0,0.22892,44064989.0,2925636468.0,18.551461245235068,55.09
US.NBIS,NEBIUS,2025-08-08 00:00:00,68.175,68.78,71.49,66.45,0.0,0.09586,18451904.0,1262061954.0,5.313122033379266,65.31
US.NBIS,NEBIUS,2025-08-11 00:00:00,69.9,70.24,75.9601,69.16,0.0,0.11197,21552712.0,1565690876.0,2.1227100901424745,68.78
US.NBIS,NEBIUS,2025-08-12 00:00:00,73.425,75.33,75.9188,72.0,0.0,0.08396,16162726.0,1197841047.0,7.246583143507978,70.24
US.NBIS,NEBIUS,2025-08-13 00:00:00,75.08,70.63,75.21,69.08,0.0,0.09716,18701875.0,1334600241.0,-6.239214124518789,75.33
US.NBIS,NEBIUS,2025-08-14 00:00:00,69.75,68.46,71.52,67.1,0.0,0.06813,13114024.0,902959542.0,-3.0723488602576836,70.63
US.NBIS,NEBIUS,2025-08-15 00:00:00,68.3,71.62,71.97,67.31,0.0,0.04799,9237569.0,651419221.0,4.61583406368684,68.46
US.NBIS,NEBIUS,2025-08-18 00:00:00,71.44,72.54,72.59,68.27,0.0,0.05199,10006986.0,709089316.0,1.2845573862049728,71.62
US.NBIS,NEBIUS,2025-08-19 00:00:00,71.75,67.19,71.75,66.2,0.0,0.06377,12276289.0,837529289.0,-7.375241246209,72.54
US.NBIS,NEBIUS,2025-08-20 00:00:00,65.185,67.47,67.5,62.01,0.0,0.07358,14162843.0,917965652.0,0.4167286798630766,67.19
US.NBIS,NEBIUS,2025-08-21 00:00:00,68.26,66.18,68.26,65.45,0.0,0.04166,8019247.0,534979372.0,-1.9119608714984322,67.47
US.NBIS,NEBIUS,2025-08-22 00:00:00,65.51,68.98,69.68,64.6108,0.0,0.05723,11017169.0,750060566.0,4.2308854638863655,66.18
US.NBIS,NEBIUS,2025-08-25 00:00:00,69.46,70.02,70.74,67.25,0.0,0.04103,7898724.0,550544638.0,1.5076833864888257,68.98
US.NBIS,NEBIUS,2025-08-26 00:00:00,70.29,70.48,72.8,69.31,0.0,0.03905,7516543.0,533092378.0,0.65695515566982,70.02
US.NBIS,NEBIUS,2025-08-27 00:00:00,71.5,70.1,71.798,68.652,0.0,0.03362,6471437.0,450796526.0,-0.5391600454029649,70.48
US.NBIS,NEBIUS,2025-08-28 00:00:00,70.93,72.04,73.5,70.2,0.0,0.04628,8909357.0,638155624.0,2.7674750356633555,70.1
US.NBIS,NEBIUS,2025-08-29 00:00:00,71.545,68.32,71.69,67.6,0.0,0.03945,7594332.0,522636529.0,-5.163797890061095,72.04
US.NBIS,NEBIUS,2025-09-02 00:00:00,65.9,65.72,67.879,64.11,0.0,0.04848,9332965.0,612386452.0,-3.805620608899289,68.32
US.NBIS,NEBIUS,2025-09-03 00:00:00,66.88,65.65,67.0,64.8314,0.0,0.0338,6506241.0,429125650.0,-0.10651247717588738,65.72
US.NBIS,NEBIUS,2025-09-04 00:00:00,65.445,64.91,66.5,64.41,0.0,0.02843,5473282.0,356296316.0,-1.127189642041141,65.65
US.NBIS,NEBIUS,2025-09-05 00:00:00,66.5,65.47,67.39,63.26,0.0,0.03019,5811679.0,377952507.0,0.8627330149437719,64.91
