code,name,time_key,open,close,high,low,volume,turnover,pe_ratio,turnover_rate,last_close,change_rate
US.NTNX,Nutanix,2025-01-06 00:00:00,63.41,64.11,64.4,62.96,1766643.0,113002497.0,0.0,0.00708,62.68,2.281429483088715
US.NTNX,Nutanix,2025-01-07 00:00:00,64.51,62.17,64.56,61.55,1717335.0,106966651.0,0.0,0.00688,64.11,-3.0260489783185074
US.NTNX,Nutanix,2025-01-08 00:00:00,62.0,62.41,62.45,61.32,1824426.0,113248716.0,0.0,0.00731,62.17,0.38603828212964153
US.NTNX,Nutanix,2025-01-10 00:00:00,61.29,62.23,62.67,61.26,1606757.0,99907596.0,0.0,0.00644,62.41,-0.2884153180579996
US.NTNX,Nutanix,2025-01-13 00:00:00,61.55,62.61,62.78,60.92,1786124.0,111242506.0,0.0,0.00716,62.23,0.6106379559697839
US.NTNX,Nutanix,2025-01-14 00:00:00,62.87,63.05,63.77,62.33,2006763.0,126439816.0,0.0,0.00804,62.61,0.7027631368790921
US.NTNX,Nutanix,2025-01-15 00:00:00,63.43,65.86,66.0999,63.12,2307864.0,151194176.0,0.0,0.00925,63.05,4.456780333068999
US.NTNX,Nutanix,2025-01-16 00:00:00,65.95,66.55,67.23,65.95,1950305.0,130191844.0,0.0,0.00781,65.86,1.0476768903735056
US.NTNX,Nutanix,2025-01-17 00:00:00,66.65,65.14,66.97,65.06,1613619.0,106081736.0,0.0,0.00646,66.55,-2.118707738542447
US.NTNX,Nutanix,2025-01-21 00:00:00,65.72,65.44,66.2029,63.97,1775280.0,115492336.0,0.0,0.00711,65.14,0.4605465151980237
US.NTNX,Nutanix,2025-01-22 00:00:00,66.19,66.44,67.4,65.9095,1859108.0,123469075.0,0.0,0.00745,65.44,1.5281173594132058
US.NTNX,Nutanix,2025-01-23 00:00:00,66.35,65.12,66.4,64.45,2513998.0,164042268.0,0.0,0.01007,66.44,-1.9867549668874052
US.NTNX,Nutanix,2025-01-24 00:00:00,65.51,64.69,65.77,64.42,1864464.0,121085431.0,0.0,0.00747,65.12,-0.660319410319421
US.NTNX,Nutanix,2025-01-27 00:00:00,62.89,62.97,64.35,62.09,2047861.0,128966967.0,0.0,0.0082,64.69,-2.6588344411810128
US.NTNX,Nutanix,2025-01-28 00:00:00,63.64,68.33,68.56,63.55,3019475.0,202799741.0,0.0,0.0121,62.97,8.511989836430045
US.NTNX,Nutanix,2025-01-29 00:00:00,68.65,67.76,68.88,66.7775,1884033.0,127321017.0,0.0,0.00755,68.33,-0.8341870335138224
US.NTNX,Nutanix,2025-01-30 00:00:00,67.64,68.01,68.165,66.36,1976296.0,133629836.0,0.0,0.00792,67.76,0.3689492325855914
