code,name,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close
US.GLBE,Global-E Online,2025-07-07 00:00:00,33.05,33.17,33.38,32.425,0.0,0.01823,1974873.0,64965957.0,-0.5993407252022648,33.37
US.GLBE,Global-E Online,2025-07-08 00:00:00,33.41,32.84,33.68,32.55,0.0,0.0155,1679253.0,55190082.0,-0.9948748869460304,33.17
US.GLBE,Global-E Online,2025-07-09 00:00:00,32.94,33.76,33.78,32.61,0.0,0.01353,1466279.0,49046184.0,2.8014616321558905,32.84
US.GLBE,Global-E Online,2025-07-10 00:00:00,33.79,33.44,34.2,33.07,0.0,0.01087,1178004.0,39675266.0,-0.9478672985782,33.76
US.GLBE,Global-E Online,2025-07-11 00:00:00,33.21,32.99,33.6,32.861,0.0,0.00871,943771.0,31375881.0,-1.3456937799042936,33.44
US.GLBE,Global-E Online,2025-07-14 00:00:00,32.82,33.25,33.785,32.6687,0.0,0.00973,1054534.0,35235624.0,0.788117611397387,32.99
US.GLBE,Global-E Online,2025-07-15 00:00:00,33.565,32.19,33.81,32.12,0.0,0.0149,1614491.0,52369991.0,-3.187969924812037,33.25
US.GLBE,Global-E Online,2025-07-16 00:00:00,32.22,33.3,33.5,31.9,0.0,0.01006,1089788.0,35941958.0,3.448275862068964,32.19
US.GLBE,Global-E Online,2025-07-17 00:00:00,33.53,33.58,34.0,33.305,0.0,0.02091,2266045.0,76105193.0,0.8408408408408443,33.3
US.GLBE,Global-E Online,2025-07-18 00:00:00,33.85,33.45,34.0,32.82,0.0,0.02164,2344944.0,77722264.0,-0.3871351995235124,33.58
US.GLBE,Global-E Online,2025-07-21 00:00:00,33.63,34.35,35.015,33.52,0.0,0.0139,1506113.0,51848876.0,2.6905829596412514,33.45
US.GLBE,Global-E Online,2025-07-22 00:00:00,34.48,34.4,34.7775,33.6,0.0,0.00696,753648.0,25841955.0,0.1455604075691329,34.35
US.GLBE,Global-E Online,2025-07-23 00:00:00,34.61,34.84,35.0,34.02,0.0,0.00735,795972.0,27625774.0,1.2790697674418745,34.4
US.GLBE,Global-E Online,2025-07-24 00:00:00,34.92,34.27,35.0,34.02,0.0,0.00832,901549.0,30976653.0,-1.6360505166475323,34.84
US.GLBE,Global-E Online,2025-07-25 00:00:00,34.48,34.69,34.91,34.37,0.0,0.00652,706536.0,24483493.0,1.2255617157863863,34.27
US.GLBE,Global-E Online,2025-07-28 00:00:00,34.92,34.61,35.3,34.57,0.0,0.00917,993229.0,34510169.0,-0.23061400980109054,34.69
US.GLBE,Global-E Online,2025-07-29 00:00:00,34.67,34.18,34.81,33.63,0.0,0.00871,943242.0,32235711.0,-1.2424154868535098,34.61
US.GLBE,Global-E Online,2025-07-30 00:00:00,34.2,33.21,34.5,33.07,0.0,0.00885,959343.0,32272865.0,-2.837916910473958,34.18
US.GLBE,Global-E Online,2025-07-31 00:00:00,33.49,33.15,33.5,32.08,0.0,0.01439,1559607.0,51191966.0,-0.18066847335140704,33.21
